time from scenario start,umv response duration ms
00:00:00.00,322
00:02:14.07,103
00:02:46.26,101
00:02:57.19,102
00:02:58.99,257
00:02:59.05,108
00:02:59.30,105
00:02:59.36,141
00:02:59.41,172
00:02:59.45,253
00:02:59.66,394
00:02:59.70,310
00:02:59.92,429
00:02:59.96,429
00:03:00.17,561
00:03:00.21,543
00:03:00.42,683
00:03:00.46,685
00:03:00.68,632
00:03:00.72,494
00:03:00.93,705
00:03:00.97,637
00:03:01.18,826
00:03:01.23,851
00:03:01.44,868
00:03:01.48,825
00:03:01.69,1024
00:03:01.74,1061
00:03:01.95,1229
00:03:01.99,1236
00:03:02.20,1422
00:03:02.24,1393
00:03:02.45,1529
00:03:02.50,1562
00:03:02.71,1549
00:03:02.75,1587
00:03:02.87,1501
00:03:02.90,1502
00:03:02.92,1502
00:03:02.96,1501
00:03:02.96,1729
00:03:03.01,1738
00:03:03.18,1502
00:03:03.20,1501
00:03:03.21,1728
00:03:03.26,1654
00:03:03.27,1501
00:03:03.44,1501
00:03:03.46,1501
00:03:03.47,1724
00:03:03.51,1750
00:03:03.63,1502
00:03:03.65,1502
00:03:03.65,1501
00:03:03.72,1744
00:03:03.77,1659
00:03:03.97,1606
00:03:04.01,1501
00:03:04.02,1651
00:03:04.12,1501
00:03:04.13,1501
00:03:04.23,1726
00:03:04.27,1706
00:03:04.43,1502
00:03:04.45,1501
00:03:04.47,1502
00:03:04.48,1664
00:03:04.53,1660
00:03:04.59,1501
00:03:04.60,1501
00:03:04.74,1741
00:03:04.78,1742
00:03:04.87,1501
00:03:04.88,1501
00:03:04.99,1685
00:03:05.03,1689
00:03:05.10,1501
00:03:05.13,1501
00:03:05.24,1725
00:03:05.29,1721
00:03:05.50,1502
00:03:05.54,1422
00:03:05.75,1600
00:03:05.79,1527
00:03:06.00,1627
00:03:06.04,1615
00:03:06.26,1622
00:03:06.30,1544
00:03:06.47,1501
00:03:06.50,1502
00:03:06.50,1501
00:03:06.50,1501
00:03:06.51,1735
00:03:06.54,1501
00:03:06.55,1501
00:03:06.55,1657
00:03:06.70,1501
00:03:06.71,1501
00:03:06.72,1502
00:03:06.74,1501
00:03:06.76,1501
00:03:06.76,1753
00:03:06.80,1747
00:03:07.02,1620
00:03:07.06,1519
00:03:07.12,1501
00:03:07.22,1502
00:03:07.27,1717
00:03:07.31,1693
00:03:07.52,1537
00:03:07.56,1550
00:03:07.77,1630
00:03:07.82,1634
00:03:07.90,1501
00:03:08.03,1739
00:03:08.07,1713
00:03:08.28,1636
00:03:08.30,1501
00:03:08.32,1659
00:03:08.40,1501
00:03:08.44,1501
00:03:08.47,1502
00:03:08.53,1744
00:03:08.55,1501
00:03:08.58,1697
00:03:08.69,1501
00:03:08.73,1502
00:03:08.79,1748
00:03:08.83,1663
00:03:09.04,1502
00:03:09.04,1720
00:03:09.08,1676
00:03:09.27,1502
00:03:09.29,1590
00:03:09.34,1619
00:03:09.45,1501
00:03:09.49,1501
00:03:09.53,1501
